Date ,Day,Month,Year,Quarter,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
14-Nov-25,Friday,November,2025,Q4,EQ,565.35,570.50,555.05,565.35,558.70,556.95,561.43,714.80,320.85,263461.00,147914748.10,7775.00
13-Nov-25,Thursday,November,2025,Q4,EQ,541.60,569.95,541.60,542.85,565.00,565.35,563.49,714.80,320.85,1069656.00,602745203.95,17375.00
12-Nov-25,Wednesday,November,2025,Q4,EQ,553.75,556.50,540.40,551.30,544.95,542.85,550.92,714.80,320.85,670017.00,369125041.75,9595.00
11-Nov-25,Tuesday,November,2025,Q4,EQ,550.00,554.00,537.05,547.95,549.05,551.30,549.17,714.80,320.85,642644.00,352922586.15,7909.00
10-Nov-25,Monday,November,2025,Q4,EQ,548.25,551.75,533.85,543.05,543.50,547.95,543.50,714.80,320.85,345524.00,187792549.50,10944.00
07-Nov-25,Friday,November,2025,Q4,EQ,537.55,544.90,514.80,537.55,540.00,543.05,529.77,714.80,320.85,666031.00,352841844.85,13764.00
06-Nov-25,Thursday,November,2025,Q4,EQ,553.00,554.90,533.80,548.90,538.45,537.55,541.03,714.80,320.85,627899.00,339712031.20,11415.00
04-Nov-25,Tuesday,November,2025,Q4,EQ,550.00,554.50,538.35,553.50,550.00,548.90,547.73,714.80,320.85,537443.00,294374393.85,13589.00
03-Nov-25,Monday,November,2025,Q4,EQ,532.95,557.15,532.95,530.65,553.00,553.50,552.11,714.80,320.85,4095066.00,2260929395.05,20105.00
31-Oct-25,Friday,October,2025,Q4,EQ,542.70,547.15,528.00,540.55,530.00,530.65,537.35,714.80,320.85,178742.00,96047244.10,5866.00
30-Oct-25,Thursday,October,2025,Q4,EQ,547.85,548.70,538.00,541.80,540.55,540.55,542.86,714.80,320.85,86182.00,46784628.05,2940.00
29-Oct-25,Wednesday,October,2025,Q4,EQ,554.85,556.75,538.00,554.35,542.95,541.80,543.86,714.80,320.85,212779.00,115721535.85,6777.00
28-Oct-25,Tuesday,October,2025,Q4,EQ,562.00,566.20,552.70,563.70,553.50,554.35,557.47,714.80,320.85,112144.00,62516994.15,4774.00
27-Oct-25,Monday,October,2025,Q4,EQ,570.00,579.95,560.00,568.90,561.95,563.70,567.09,714.80,320.85,200847.00,113899141.60,7327.00
24-Oct-25,Friday,October,2025,Q4,EQ,556.95,575.00,551.85,556.90,570.00,568.90,566.01,714.80,320.85,821064.00,464726579.35,15088.00
