Date ,Day,Month,Year,Quarter,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
14-Nov-25,Friday,November,2025,Q4,EQ,1707.30,1751.00,1696.50,1707.30,1728.50,1725.30,1725.91,2545.00,1180.20,1494958.00,51299.00
13-Nov-25,Thursday,November,2025,Q4,EQ,1648.00,1744.40,1645.30,1792.00,1709.00,1707.30,1713.75,2545.00,1180.20,3234178.00,111837.00
12-Nov-25,Wednesday,November,2025,Q4,EQ,1759.90,1805.00,1748.20,1754.50,1792.80,1792.00,1788.27,2545.00,1180.20,1284377.00,48451.00
11-Nov-25,Tuesday,November,2025,Q4,EQ,1754.90,1782.40,1742.70,1755.10,1757.00,1754.50,1765.84,2545.00,1180.20,831651.00,38746.00
10-Nov-25,Monday,November,2025,Q4,EQ,1729.80,1790.00,1725.80,1725.80,1754.90,1755.10,1765.92,2545.00,1180.20,1057367.00,45942.00
07-Nov-25,Friday,November,2025,Q4,EQ,1699.00,1735.00,1666.40,1702.70,1733.00,1725.80,1701.21,2545.00,1180.20,745707.00,37709.00
06-Nov-25,Thursday,November,2025,Q4,EQ,1771.90,1775.00,1698.50,1768.70,1699.00,1702.70,1720.09,2545.00,1180.20,838981.00,48264.00
04-Nov-25,Tuesday,November,2025,Q4,EQ,1787.40,1791.70,1762.40,1787.00,1771.90,1768.70,1771.53,2545.00,1180.20,438411.00,27173.00
03-Nov-25,Monday,November,2025,Q4,EQ,1789.50,1797.80,1783.50,1789.50,1791.40,1787.00,1789.92,2545.00,1180.20,313736.00,20389.00
31-Oct-25,Friday,October,2025,Q4,EQ,1782.90,1802.00,1776.00,1782.50,1791.80,1789.50,1790.62,2545.00,1180.20,543761.00,27537.00
30-Oct-25,Thursday,October,2025,Q4,EQ,1804.50,1807.00,1780.00,1804.50,1781.50,1782.50,1789.28,2545.00,1180.20,507176.00,30617.00
29-Oct-25,Wednesday,October,2025,Q4,EQ,1812.00,1826.00,1801.00,1810.90,1807.00,1804.50,1812.18,2545.00,1180.20,465217.00,25474.00
28-Oct-25,Tuesday,October,2025,Q4,EQ,1829.30,1838.30,1806.70,1820.20,1811.00,1810.90,1816.83,2545.00,1180.20,578915.00,28222.00
27-Oct-25,Monday,October,2025,Q4,EQ,1826.90,1828.90,1808.00,1824.30,1823.00,1820.20,1816.17,2545.00,1180.20,612659.00,31576.00
24-Oct-25,Friday,October,2025,Q4,EQ,1810.00,1864.00,1800.10,1792.40,1822.50,1824.30,1829.73,2545.00,1180.20,3072570.00,106992.00
23-Oct-25,Thursday,October,2025,Q4,EQ,1821.00,1834.90,1783.20,1808.80,1792.00,1792.40,1811.75,2545.00,1180.20,906858.00,38985.00
21-Oct-25,Tuesday,October,2025,Q4,EQ,1800.80,1814.50,1800.80,1797.00,1811.50,1808.80,1809.56,2545.00,1180.20,188901.00,10319.00
20-Oct-25,Monday,October,2025,Q4,EQ,1800.00,1806.80,1779.00,1792.00,1800.80,1797.00,1793.51,2545.00,1180.20,571723.00,29720.00
17-Oct-25,Friday,October,2025,Q4,EQ,1785.00,1824.00,1773.00,1791.00,1789.00,1792.00,1796.53,2545.00,1180.20,1101864.00,42140.00
16-Oct-25,Thursday,October,2025,Q4,EQ,1799.00,1814.80,1782.80,1795.20,1794.30,1791.00,1795.33,2545.00,1180.20,586614.00,28637.00
15-Oct-25,Wednesday,October,2025,Q4,EQ,1795.50,1814.80,1777.50,1784.50,1793.00,1795.20,1795.32,2545.00,1180.20,926136.00,37581.00
14-Oct-25,Tuesday,October,2025,Q4,EQ,1766.00,1807.00,1763.40,1760.10,1780.00,1784.50,1786.74,2545.00,1180.20,1373139.00,56194.00
13-Oct-25,Monday,October,2025,Q4,EQ,1774.90,1774.90,1750.50,1776.30,1761.40,1760.10,1760.05,2545.00,1180.20,456844.00,23132.00
10-Oct-25,Friday,October,2025,Q4,EQ,1785.60,1805.00,1771.30,1785.20,1777.90,1776.30,1786.13,2545.00,1180.20,851632.00,36857.00
09-Oct-25,Thursday,October,2025,Q4,EQ,1798.90,1810.00,1780.50,1796.80,1792.20,1785.20,1794.53,2545.00,1180.20,901095.00,38771.00
08-Oct-25,Wednesday,October,2025,Q4,EQ,1840.00,1842.50,1790.00,1839.80,1799.00,1796.80,1809.28,2545.00,1180.20,1043352.00,46341.00
07-Oct-25,Tuesday,October,2025,Q4,EQ,1853.00,1874.80,1833.80,1853.00,1840.00,1839.80,1850.73,2545.00,1180.20,745956.00,33923.00
06-Oct-25,Monday,October,2025,Q4,EQ,1865.00,1882.30,1837.00,1861.50,1851.00,1853.00,1856.43,2545.00,1180.20,1226229.00,47137.00
03-Oct-25,Friday,October,2025,Q4,EQ,1861.60,1890.00,1832.00,1861.60,1863.00,1861.50,1866.05,2545.00,1180.20,1506063.00,62180.00
01-Oct-25,Wednesday,October,2025,Q4,EQ,1790.00,1929.90,1774.20,1789.60,1863.00,1861.60,1865.89,2545.00,1180.20,4285387.00,149687.00
30-Sep-25,Tuesday,September,2025,Q3,EQ,1780.40,1804.80,1762.60,1772.00,1795.00,1789.60,1784.24,2545.00,1180.20,1196621.00,50911.00
29-Sep-25,Monday,September,2025,Q3,EQ,1880.00,1888.90,1755.00,1874.20,1780.00,1772.00,1810.57,2545.00,1180.20,2609772.00,114668.00
26-Sep-25,Friday,September,2025,Q3,EQ,1935.00,1936.60,1856.40,1926.90,1880.00,1874.20,1887.02,2545.00,1180.20,1526837.00,64661.00
25-Sep-25,Thursday,September,2025,Q3,EQ,1904.80,1977.00,1892.60,1895.00,1930.00,1926.90,1949.12,2545.00,1180.20,4982811.00,164814.00
24-Sep-25,Wednesday,September,2025,Q3,EQ,1895.00,1910.00,1866.70,1885.40,1898.00,1895.00,1891.41,2545.00,1180.20,1939287.00,68307.00
23-Sep-25,Tuesday,September,2025,Q3,EQ,1924.00,1925.00,1876.00,1922.90,1888.60,1885.40,1890.68,2545.00,1180.20,1479948.00,63396.00
22-Sep-25,Monday,September,2025,Q3,EQ,1950.00,1979.90,1911.00,1900.80,1920.00,1922.90,1943.10,2545.00,1180.20,2784165.00,102058.00
19-Sep-25,Friday,September,2025,Q3,EQ,1905.90,1912.00,1873.90,1907.40,1898.00,1900.80,1892.28,2545.00,1180.20,1683827.00,64020.00
18-Sep-25,Thursday,September,2025,Q3,EQ,1918.00,1940.00,1894.40,1890.50,1902.50,1907.40,1916.94,2545.00,1180.20,4942852.00,153306.00
17-Sep-25,Wednesday,September,2025,Q3,EQ,1821.60,1923.80,1820.10,1821.60,1885.00,1890.50,1881.77,2545.00,1180.20,4562028.00,169073.00
16-Sep-25,Tuesday,September,2025,Q3,EQ,1807.80,1853.00,1762.00,1807.80,1820.10,1821.60,1820.78,2545.00,1180.20,2590456.00,109896.00
15-Sep-25,Monday,September,2025,Q3,EQ,1753.90,1828.00,1750.00,1745.70,1804.90,1807.80,1798.10,2545.00,1180.20,3956682.00,152997.00
12-Sep-25,Friday,September,2025,Q3,EQ,1655.20,1755.00,1641.70,1651.20,1754.00,1745.70,1715.68,2545.00,1180.20,3420414.00,145584.00
11-Sep-25,Thursday,September,2025,Q3,EQ,1645.00,1710.00,1640.00,1643.20,1651.00,1651.20,1674.22,2545.00,1180.20,1742965.00,97958.00
10-Sep-25,Wednesday,September,2025,Q3,EQ,1630.00,1652.80,1629.90,1629.50,1646.80,1643.20,1644.31,2545.00,1180.20,579311.00,33906.00
09-Sep-25,Tuesday,September,2025,Q3,EQ,1653.00,1664.40,1625.10,1652.90,1629.40,1629.50,1638.58,2545.00,1180.20,561567.00,36121.00
08-Sep-25,Monday,September,2025,Q3,EQ,1660.00,1678.40,1645.20,1652.20,1650.00,1652.90,1659.98,2545.00,1180.20,713266.00,43382.00
05-Sep-25,Friday,September,2025,Q3,EQ,1675.00,1679.00,1647.90,1676.20,1655.00,1652.20,1658.35,2545.00,1180.20,593564.00,40580.00
04-Sep-25,Thursday,September,2025,Q3,EQ,1740.50,1754.00,1669.00,1738.20,1672.30,1676.20,1700.06,2545.00,1180.20,752683.00,53307.00
03-Sep-25,Wednesday,September,2025,Q3,EQ,1742.00,1769.40,1720.00,1738.80,1735.40,1738.20,1749.02,2545.00,1180.20,942487.00,57498.00
02-Sep-25,Tuesday,September,2025,Q3,EQ,1682.00,1770.00,1664.10,1673.90,1740.00,1738.80,1731.44,2545.00,1180.20,1489890.00,79848.00
01-Sep-25,Monday,September,2025,Q3,EQ,1609.10,1696.00,1609.10,1608.20,1680.00,1673.90,1649.34,2545.00,1180.20,1024508.00,58614.00
29-Aug-25,Friday,August,2025,Q3,EQ,1605.00,1644.00,1594.00,1604.40,1614.40,1608.20,1617.88,2545.00,1180.20,648405.00,41052.00
28-Aug-25,Thursday,August,2025,Q3,EQ,1642.00,1644.90,1600.10,1641.90,1604.80,1604.40,1617.19,2545.00,1180.20,486553.00,43640.00
26-Aug-25,Tuesday,August,2025,Q3,EQ,1683.50,1687.00,1635.10,1683.50,1645.00,1641.90,1652.69,2545.00,1180.20,490027.00,40453.00
25-Aug-25,Monday,August,2025,Q3,EQ,1718.00,1732.00,1675.70,1705.50,1687.00,1683.50,1699.98,2545.00,1180.20,543870.00,40214.00
22-Aug-25,Friday,August,2025,Q3,EQ,1707.40,1722.00,1695.10,1707.40,1702.10,1705.50,1707.14,2545.00,1180.20,476216.00,29790.00
21-Aug-25,Thursday,August,2025,Q3,EQ,1714.00,1765.00,1701.00,1713.80,1707.80,1707.40,1738.60,2545.00,1180.20,1151434.00,61156.00
20-Aug-25,Wednesday,August,2025,Q3,EQ,1715.90,1732.40,1693.00,1707.40,1716.00,1713.80,1717.46,2545.00,1180.20,566398.00,32882.00
19-Aug-25,Tuesday,August,2025,Q3,EQ,1722.00,1732.90,1700.40,1721.70,1705.70,1707.40,1716.97,2545.00,1180.20,612383.00,35582.00
18-Aug-25,Monday,August,2025,Q3,EQ,1705.00,1725.00,1694.50,1691.00,1722.10,1721.70,1713.05,2545.00,1180.20,634683.00,40340.00
14-Aug-25,Thursday,August,2025,Q3,EQ,1685.00,1698.10,1655.90,1683.10,1690.50,1691.00,1677.56,2545.00,1180.20,524503.00,29115.00
13-Aug-25,Wednesday,August,2025,Q3,EQ,1680.00,1724.00,1665.10,1667.20,1690.00,1683.10,1687.30,2545.00,1180.20,1062304.00,54918.00
12-Aug-25,Tuesday,August,2025,Q3,EQ,1679.00,1680.10,1647.30,1660.00,1663.00,1667.20,1662.60,2545.00,1180.20,524016.00,32526.00
11-Aug-25,Monday,August,2025,Q3,EQ,1649.10,1735.00,1627.80,1641.00,1662.00,1660.00,1682.29,2545.00,1180.20,1500416.00,87191.00
08-Aug-25,Friday,August,2025,Q3,EQ,1692.80,1704.90,1630.00,1692.70,1641.00,1641.00,1661.29,2545.00,1180.20,607511.00,41673.00
07-Aug-25,Thursday,August,2025,Q3,EQ,1695.00,1713.60,1660.10,1707.10,1700.00,1692.70,1686.13,2545.00,1180.20,676296.00,44230.00
06-Aug-25,Wednesday,August,2025,Q3,EQ,1745.00,1746.90,1701.70,1733.70,1704.00,1707.10,1716.56,2545.00,1180.20,482772.00,34698.00
05-Aug-25,Tuesday,August,2025,Q3,EQ,1744.10,1760.90,1727.00,1741.90,1730.90,1733.70,1740.68,2545.00,1180.20,468455.00,29005.00
04-Aug-25,Monday,August,2025,Q3,EQ,1717.40,1755.80,1709.50,1718.70,1742.10,1741.90,1737.72,2545.00,1180.20,545030.00,31035.00
01-Aug-25,Friday,August,2025,Q3,EQ,1767.00,1772.90,1710.00,1770.80,1715.00,1718.70,1739.04,2715.80,1180.20,622282.00,44546.00
31-Jul-25,Thursday,July,2025,Q3,EQ,1750.00,1804.80,1741.60,1786.20,1770.00,1770.80,1781.96,2715.80,1180.20,967856.00,48944.00
30-Jul-25,Wednesday,July,2025,Q3,EQ,1778.00,1793.00,1758.10,1765.50,1787.40,1786.20,1775.41,2715.80,1180.20,614104.00,31391.00
29-Jul-25,Tuesday,July,2025,Q3,EQ,1740.00,1778.00,1717.00,1753.40,1778.00,1765.50,1746.80,2715.80,1180.20,1124026.00,54593.00
28-Jul-25,Monday,July,2025,Q3,EQ,1800.00,1819.90,1743.20,1808.40,1753.50,1753.40,1777.22,2715.80,1180.20,975392.00,55305.00
25-Jul-25,Friday,July,2025,Q3,EQ,1843.20,1855.00,1800.00,1854.80,1806.40,1808.40,1820.60,2774.50,1180.20,862339.00,48964.00
24-Jul-25,Thursday,July,2025,Q3,EQ,1867.50,1869.00,1840.30,1870.70,1855.60,1854.80,1852.53,2774.50,1180.20,715445.00,36912.00
23-Jul-25,Wednesday,July,2025,Q3,EQ,1849.30,1876.40,1823.60,1840.10,1871.90,1870.70,1850.99,2774.50,1180.20,939802.00,51752.00
22-Jul-25,Tuesday,July,2025,Q3,EQ,1882.00,1912.00,1835.00,1876.30,1844.90,1840.10,1859.51,2774.50,1180.20,1125190.00,53674.00
21-Jul-25,Monday,July,2025,Q3,EQ,1865.00,1899.00,1830.00,1867.20,1882.00,1876.30,1867.82,2774.50,1180.20,1051368.00,52527.00
18-Jul-25,Friday,July,2025,Q3,EQ,1919.90,1934.00,1856.70,1912.60,1863.20,1867.20,1879.03,2848.00,1180.20,1285301.00,64667.00
17-Jul-25,Thursday,July,2025,Q3,EQ,1939.00,1940.00,1905.00,1938.00,1911.00,1912.60,1917.06,2848.00,1180.20,883285.00,46630.00
16-Jul-25,Wednesday,July,2025,Q3,EQ,1924.10,1943.00,1912.30,1924.10,1940.20,1938.00,1929.08,2848.00,1180.20,696644.00,31655.00
15-Jul-25,Tuesday,July,2025,Q3,EQ,1930.00,1953.60,1920.00,1928.80,1924.80,1924.10,1931.96,2848.00,1180.20,1000338.00,50465.00
14-Jul-25,Monday,July,2025,Q3,EQ,1975.00,1976.20,1920.00,1982.80,1929.00,1928.80,1931.55,2848.00,1180.20,1261712.00,67612.00
11-Jul-25,Friday,July,2025,Q3,EQ,2017.00,2024.00,1971.00,2017.70,1985.20,1982.80,1987.15,2979.45,1180.20,1223384.00,60965.00
10-Jul-25,Thursday,July,2025,Q3,EQ,2041.00,2041.20,2007.00,2036.30,2019.10,2017.70,2021.63,2979.45,1180.20,796413.00,36653.00
09-Jul-25,Wednesday,July,2025,Q3,EQ,2022.00,2064.00,2018.90,2021.50,2041.00,2036.30,2043.27,2979.45,1180.20,1324846.00,55433.00
08-Jul-25,Tuesday,July,2025,Q3,EQ,2053.50,2065.60,2010.00,2051.70,2022.00,2021.50,2030.07,2979.45,1180.20,1058542.00,48415.00
07-Jul-25,Monday,July,2025,Q3,EQ,2065.00,2074.00,2030.00,2057.30,2054.20,2051.70,2053.36,2979.45,1180.20,1408214.00,63907.00
04-Jul-25,Friday,July,2025,Q3,EQ,2031.00,2073.90,2031.00,2015.40,2056.00,2057.30,2056.46,2979.45,1180.20,1972155.00,76526.00
03-Jul-25,Thursday,July,2025,Q3,EQ,2029.90,2048.00,2005.00,2025.30,2018.00,2015.40,2023.42,2979.45,1180.20,1424216.00,56960.00
02-Jul-25,Wednesday,July,2025,Q3,EQ,2055.40,2059.90,2005.00,2045.20,2028.00,2025.30,2024.85,2979.45,1180.20,1503047.00,64643.00
01-Jul-25,Tuesday,July,2025,Q3,EQ,2085.00,2092.10,2036.60,2065.80,2054.90,2045.20,2059.78,2979.45,1180.20,1893630.00,78326.00
30-Jun-25,Monday,June,2025,Q2,EQ,2064.50,2093.60,2045.80,2044.20,2071.00,2065.80,2065.87,2979.45,1180.20,2414088.00,96100.00
27-Jun-25,Friday,June,2025,Q2,EQ,2104.90,2126.80,2023.10,2091.20,2044.90,2044.20,2079.84,2979.45,1180.20,2745762.00,111623.00
26-Jun-25,Thursday,June,2025,Q2,EQ,2143.30,2182.00,2044.10,2134.00,2100.00,2091.20,2106.11,2979.45,1180.20,3050446.00,125496.00
25-Jun-25,Wednesday,June,2025,Q2,EQ,2177.90,2186.00,2111.00,2165.50,2137.40,2134.00,2139.82,2979.45,1180.20,3065799.00,120631.00
24-Jun-25,Tuesday,June,2025,Q2,EQ,2254.00,2278.00,2154.00,2231.10,2177.10,2165.50,2191.88,2979.45,1180.20,4473394.00,160384.00
23-Jun-25,Monday,June,2025,Q2,EQ,2180.00,2249.00,2166.40,2179.20,2232.20,2231.10,2220.68,2979.45,1180.20,5685325.00,189007.00
20-Jun-25,Friday,June,2025,Q2,EQ,2090.00,2210.00,2080.00,2085.70,2201.00,2179.20,2131.44,2979.45,1180.20,5195062.00,177183.00
19-Jun-25,Thursday,June,2025,Q2,EQ,2144.00,2192.00,2071.00,2143.50,2080.40,2085.70,2131.55,2979.45,1180.20,4480331.00,167832.00
18-Jun-25,Wednesday,June,2025,Q2,EQ,2194.80,2209.00,2135.20,2192.20,2142.00,2143.50,2170.37,2979.45,1180.20,3417182.00,114921.00
17-Jun-25,Tuesday,June,2025,Q2,EQ,2193.90,2243.70,2165.80,2188.00,2194.40,2192.20,2209.31,2979.45,1180.20,4868682.00,176250.00
16-Jun-25,Monday,June,2025,Q2,EQ,2172.30,2218.00,2106.00,2161.60,2189.00,2188.00,2174.86,2979.45,1180.20,5637883.00,216191.00
13-Jun-25,Friday,June,2025,Q2,EQ,2087.00,2230.60,2060.00,2128.10,2173.40,2161.60,2162.75,2979.45,1180.20,9928649.00,344778.00
12-Jun-25,Thursday,June,2025,Q2,EQ,2200.00,2250.00,2112.10,2194.80,2128.00,2128.10,2192.64,2979.45,1180.20,5643346.00,212045.00
11-Jun-25,Wednesday,June,2025,Q2,EQ,2268.00,2282.90,2164.00,2258.20,2193.20,2194.80,2209.28,2979.45,1180.20,4955277.00,207740.00
10-Jun-25,Tuesday,June,2025,Q2,EQ,2315.00,2330.00,2241.00,2301.30,2261.00,2258.20,2273.44,2979.45,1180.20,5306794.00,179699.00
09-Jun-25,Monday,June,2025,Q2,EQ,2406.60,2418.60,2290.80,2392.50,2303.80,2301.30,2320.03,2979.45,1180.20,6984192.00,267618.00
06-Jun-25,Friday,June,2025,Q2,EQ,2421.00,2545.00,2363.60,2350.80,2376.00,2392.50,2445.84,2979.45,1180.20,18534152.00,647858.00
05-Jun-25,Thursday,June,2025,Q2,EQ,2108.00,2380.00,2041.30,2086.70,2362.10,2350.80,2251.70,2979.45,1180.20,23864711.00,663990.00
04-Jun-25,Wednesday,June,2025,Q2,EQ,2055.00,2175.00,2052.20,2034.70,2087.00,2086.70,2114.15,2979.45,1180.20,13208301.00,409437.00
03-Jun-25,Tuesday,June,2025,Q2,EQ,1926.80,2050.00,1926.80,1923.00,2031.00,2034.70,2014.54,2979.45,1180.20,10032378.00,324682.00
02-Jun-25,Monday,June,2025,Q2,EQ,1943.60,1949.90,1901.00,1947.10,1923.00,1923.00,1926.81,2979.45,1180.20,1608601.00,69265.00
30-May-25,Friday,May,2025,Q2,EQ,1975.00,1993.50,1908.90,1979.20,1943.60,1947.10,1956.35,2979.45,1180.20,3804068.00,129339.00
29-May-25,Thursday,May,2025,Q2,EQ,1963.70,2010.00,1953.00,1952.50,1985.00,1979.20,1978.89,2979.45,1180.20,3442627.00,108772.00
28-May-25,Wednesday,May,2025,Q2,EQ,1939.00,1974.70,1937.00,1925.60,1952.20,1952.50,1955.28,2979.45,1180.20,3437727.00,107002.00
27-May-25,Tuesday,May,2025,Q2,EQ,1887.90,1953.00,1885.20,1884.60,1923.60,1925.60,1927.16,2979.45,1180.20,4139318.00,120847.00
26-May-25,Monday,May,2025,Q2,EQ,1915.00,1924.90,1874.50,1915.00,1887.00,1884.60,1890.01,2979.45,1180.20,2623641.00,87188.00
23-May-25,Friday,May,2025,Q2,EQ,1923.00,1955.00,1900.00,1903.80,1912.90,1915.00,1927.28,2979.45,1180.20,5503083.00,155045.00
22-May-25,Thursday,May,2025,Q2,EQ,1840.90,1931.00,1820.70,1838.80,1909.20,1903.80,1890.24,2979.45,1180.20,10045412.00,268200.00
21-May-25,Wednesday,May,2025,Q2,EQ,1817.60,1851.00,1757.90,1817.60,1844.00,1838.80,1823.43,2979.45,1180.20,9293058.00,246351.00
20-May-25,Tuesday,May,2025,Q2,EQ,1999.00,2042.00,1810.00,1982.20,1824.00,1817.60,1862.13,2979.45,1180.20,13599661.00,429308.00
19-May-25,Monday,May,2025,Q2,EQ,2090.00,2195.00,1955.00,2035.60,1982.00,1982.20,2054.92,2979.45,1180.20,19775890.00,646217.00
16-May-25,Friday,May,2025,Q2,EQ,1850.00,2068.00,1835.50,1812.10,2047.00,2035.60,2000.09,2979.45,1168.00,33598999.00,814642.00
15-May-25,Thursday,May,2025,Q2,EQ,1726.00,1832.00,1720.40,1699.40,1823.00,1812.10,1783.47,2979.45,1168.00,20187233.00,483784.00
14-May-25,Wednesday,May,2025,Q2,EQ,1640.00,1798.00,1640.00,1577.00,1699.80,1699.40,1735.22,2979.45,1168.00,21390019.00,531943.00
13-May-25,Tuesday,May,2025,Q2,EQ,1535.40,1592.50,1535.00,1520.80,1578.90,1577.00,1572.05,2979.45,1168.00,3242545.00,105550.00
12-May-25,Monday,May,2025,Q2,EQ,1529.00,1539.00,1505.00,1484.60,1521.00,1520.80,1517.44,2979.45,1168.00,1522100.00,60311.00
09-May-25,Friday,May,2025,Q2,EQ,1426.20,1492.00,1417.90,1443.40,1488.00,1484.60,1465.29,2979.45,1168.00,3264692.00,121071.00
08-May-25,Thursday,May,2025,Q2,EQ,1464.70,1499.50,1436.00,1457.60,1438.00,1443.40,1473.02,2979.45,1168.00,1375538.00,58788.00
07-May-25,Wednesday,May,2025,Q2,EQ,1470.00,1535.00,1443.40,1482.70,1463.80,1457.60,1479.15,2979.45,1168.00,3200758.00,126393.00
06-May-25,Tuesday,May,2025,Q2,EQ,1545.00,1583.70,1475.00,1544.70,1478.00,1482.70,1514.91,2979.45,1168.00,1810284.00,78175.00
05-May-25,Monday,May,2025,Q2,EQ,1540.50,1556.00,1508.30,1530.20,1544.00,1544.70,1536.77,2979.45,1168.00,2055329.00,78908.00
02-May-25,Friday,May,2025,Q2,EQ,1595.00,1599.00,1524.30,1591.40,1529.80,1530.20,1560.80,2979.45,1168.00,3159168.00,114003.00
30-Apr-25,Wednesday,April,2025,Q2,EQ,1673.90,1717.00,1575.00,1652.40,1585.00,1591.40,1628.70,2979.45,1168.00,5602923.00,179266.00
29-Apr-25,Tuesday,April,2025,Q2,EQ,1515.00,1669.70,1510.00,1502.10,1650.50,1652.40,1617.12,2979.45,1168.00,11869691.00,315345.00
28-Apr-25,Monday,April,2025,Q2,EQ,1415.50,1518.00,1403.90,1415.50,1501.80,1502.10,1494.28,2979.45,1168.00,4568287.00,150321.00
25-Apr-25,Friday,April,2025,Q2,EQ,1470.00,1481.20,1403.20,1477.60,1415.00,1415.50,1429.37,2979.45,1093.05,1279388.00,70009.00
24-Apr-25,Thursday,April,2025,Q2,EQ,1485.40,1529.00,1472.00,1485.70,1476.90,1477.60,1496.34,2979.45,1093.05,1393914.00,57792.00
23-Apr-25,Wednesday,April,2025,Q2,EQ,1496.00,1519.50,1456.70,1488.90,1486.00,1485.70,1485.25,2979.45,1093.05,1076643.00,46986.00
22-Apr-25,Tuesday,April,2025,Q2,EQ,1494.90,1508.90,1472.60,1487.20,1487.70,1488.90,1492.55,2979.45,1093.05,1174127.00,47450.00
