Date ,Day,Month,Year,Quarter,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
14-Nov-25,Friday,November,2025,Q4,EQ,1080.00,1093.80,1076.20,1083.10,1089.00,1084.10,1085.52,1641.35,784.15,276013.00,13986.00
13-Nov-25,Thursday,November,2025,Q4,EQ,1105.00,1109.90,1080.50,1100.30,1084.50,1083.10,1094.40,1641.35,784.15,441405.00,20635.00
12-Nov-25,Wednesday,November,2025,Q4,EQ,1094.10,1126.40,1093.80,1094.10,1099.90,1100.30,1107.69,1641.35,784.15,824642.00,27905.00
11-Nov-25,Tuesday,November,2025,Q4,EQ,1085.00,1095.30,1073.60,1081.60,1093.80,1094.10,1087.37,1641.35,784.15,245241.00,12918.00
10-Nov-25,Monday,November,2025,Q4,EQ,1109.60,1109.60,1079.20,1111.00,1082.80,1081.60,1090.31,1641.35,784.15,1168913.00,36221.00
07-Nov-25,Friday,November,2025,Q4,EQ,1062.10,1116.80,1051.00,1062.10,1105.60,1111.00,1093.48,1641.35,784.15,1132039.00,43499.00
06-Nov-25,Thursday,November,2025,Q4,EQ,1070.00,1089.40,1053.60,1069.40,1062.10,1062.10,1062.37,1641.35,784.15,552399.00,42651.00
04-Nov-25,Tuesday,November,2025,Q4,EQ,1104.80,1104.80,1066.00,1102.80,1069.40,1069.40,1078.38,1641.35,784.15,660313.00,29290.00
03-Nov-25,Monday,November,2025,Q4,EQ,1098.10,1115.00,1095.60,1098.10,1106.90,1102.80,1102.15,1641.35,784.15,313462.00,14860.00
31-Oct-25,Friday,October,2025,Q4,EQ,1102.00,1118.00,1091.20,1112.00,1097.80,1098.10,1105.82,1641.35,784.15,652110.00,25297.00
30-Oct-25,Thursday,October,2025,Q4,EQ,1135.00,1135.90,1097.10,1129.30,1111.20,1112.00,1111.07,1641.35,784.15,1359143.00,50003.00
29-Oct-25,Wednesday,October,2025,Q4,EQ,1165.00,1168.00,1112.80,1174.80,1130.00,1129.30,1129.87,1641.35,784.15,1783314.00,60329.00
28-Oct-25,Tuesday,October,2025,Q4,EQ,1184.00,1215.00,1158.00,1168.90,1175.00,1174.80,1183.55,1641.35,784.15,3249672.00,80045.00
27-Oct-25,Monday,October,2025,Q4,EQ,1159.20,1178.00,1154.30,1149.40,1170.10,1168.90,1169.37,1641.35,784.15,1419829.00,46356.00
24-Oct-25,Friday,October,2025,Q4,EQ,1139.00,1153.90,1123.00,1139.90,1148.00,1149.40,1146.48,1641.35,784.15,853901.00,38601.00
