Date ,Day,Month,Year,Quarter,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
14-Nov-25,Friday,November,2025,Q4,EQ,191.00,196.15,190.08,188.35,192.61,192.44,192.73,358.70,162.00,1955270.00,25439.00
13-Nov-25,Thursday,November,2025,Q4,EQ,197.40,201.30,186.75,196.92,187.33,188.35,194.35,358.70,162.00,2108330.00,30325.00
12-Nov-25,Wednesday,November,2025,Q4,EQ,195.00,198.07,192.23,193.93,196.71,196.92,195.99,358.70,162.00,1085899.00,15903.00
11-Nov-25,Tuesday,November,2025,Q4,EQ,187.01,195.90,182.90,187.00,193.44,193.93,190.98,358.70,162.00,2217729.00,27637.00
10-Nov-25,Monday,November,2025,Q4,EQ,182.99,189.09,182.99,182.95,187.00,187.00,186.37,358.70,162.00,1303117.00,19392.00
07-Nov-25,Friday,November,2025,Q4,EQ,184.00,184.38,179.80,184.58,182.59,182.95,181.85,358.70,162.00,859338.00,14468.00
06-Nov-25,Thursday,November,2025,Q4,EQ,193.65,193.65,183.10,186.79,183.99,184.58,186.88,358.70,162.00,1374466.00,19903.00
04-Nov-25,Tuesday,November,2025,Q4,EQ,190.95,191.50,185.88,190.38,186.05,186.79,188.77,358.70,162.00,899879.00,14342.00
03-Nov-25,Monday,November,2025,Q4,EQ,180.51,194.80,180.51,182.08,190.50,190.38,190.59,358.70,162.00,3637112.00,46893.00
31-Oct-25,Friday,October,2025,Q4,EQ,183.79,185.50,180.98,183.44,183.00,182.08,182.69,358.70,162.00,607061.00,9529.00
30-Oct-25,Thursday,October,2025,Q4,EQ,183.70,186.65,181.20,183.70,183.10,183.44,184.30,358.70,162.00,1022720.00,16369.00
29-Oct-25,Wednesday,October,2025,Q4,EQ,184.70,184.70,181.76,183.34,184.20,183.70,183.39,358.70,162.00,649334.00,10916.00
28-Oct-25,Tuesday,October,2025,Q4,EQ,178.55,183.88,177.00,178.13,183.20,183.34,181.76,358.70,162.00,1347105.00,22689.00
27-Oct-25,Monday,October,2025,Q4,EQ,178.00,178.97,175.71,176.70,178.55,178.13,177.68,358.70,162.00,481442.00,11810.00
24-Oct-25,Friday,October,2025,Q4,EQ,178.54,179.05,176.10,178.51,176.40,176.70,177.03,358.70,162.00,480822.00,10661.00
23-Oct-25,Thursday,October,2025,Q4,EQ,183.00,183.00,178.00,180.20,178.54,178.51,179.65,358.70,162.00,680093.00,15293.00
21-Oct-25,Tuesday,October,2025,Q4,EQ,177.90,181.00,177.45,176.59,180.65,180.20,179.84,358.70,162.00,379663.00,6775.00
20-Oct-25,Monday,October,2025,Q4,EQ,176.05,177.26,172.00,177.05,177.20,176.59,176.12,358.70,162.00,675604.00,15975.00
17-Oct-25,Friday,October,2025,Q4,EQ,178.11,178.11,174.65,178.11,177.10,177.05,176.14,358.70,162.00,775431.00,12309.00
16-Oct-25,Thursday,October,2025,Q4,EQ,181.60,182.15,177.61,180.71,178.50,178.11,178.96,358.70,162.00,722490.00,15696.00
15-Oct-25,Wednesday,October,2025,Q4,EQ,182.34,184.55,179.10,181.10,180.74,180.71,181.09,358.70,162.00,1285514.00,18460.00
14-Oct-25,Tuesday,October,2025,Q4,EQ,177.75,182.88,174.00,177.91,181.90,181.10,178.99,358.70,162.00,2492325.00,30176.00
13-Oct-25,Monday,October,2025,Q4,EQ,180.00,180.68,177.10,181.58,177.24,177.91,178.87,358.70,162.00,1396909.00,21055.00
10-Oct-25,Friday,October,2025,Q4,EQ,174.00,186.72,170.61,169.46,181.58,181.58,180.98,358.70,162.00,8267801.00,91841.00
09-Oct-25,Thursday,October,2025,Q4,EQ,166.00,172.35,165.17,164.24,170.10,169.46,169.76,358.70,162.00,2278390.00,32049.00
08-Oct-25,Wednesday,October,2025,Q4,EQ,165.70,166.65,164.00,165.04,164.80,164.24,164.85,358.70,162.00,533752.00,9535.00
07-Oct-25,Tuesday,October,2025,Q4,EQ,164.06,165.80,162.00,164.06,165.80,165.04,163.55,358.70,162.00,733667.00,11895.00
06-Oct-25,Monday,October,2025,Q4,EQ,167.49,167.49,163.30,166.53,164.00,164.06,164.70,358.70,162.51,718226.00,14003.00
03-Oct-25,Friday,October,2025,Q4,EQ,167.30,168.34,165.45,166.67,166.90,166.53,166.47,358.70,162.51,559326.00,11262.00
01-Oct-25,Wednesday,October,2025,Q4,EQ,166.00,167.50,163.53,165.04,167.30,166.67,165.24,358.70,162.51,532338.00,10632.00
