Date ,Day,Month,Year,Quarter,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
14-Nov-25,Friday,November,2025,Q4,EQ,1505.50,1520.90,1505.50,1510.90,1518.20,1518.90,1516.51,1551.00,1114.85,7682823.00,194941.00
13-Nov-25,Thursday,November,2025,Q4,EQ,1515.00,1522.10,1506.80,1511.50,1512.10,1510.90,1514.35,1551.00,1114.85,7196443.00,209774.00
12-Nov-25,Wednesday,November,2025,Q4,EQ,1505.00,1524.70,1500.00,1493.40,1511.80,1511.50,1515.00,1551.00,1114.85,12384459.00,252417.00
11-Nov-25,Tuesday,November,2025,Q4,EQ,1497.00,1498.80,1480.20,1489.30,1493.80,1493.40,1489.58,1551.00,1114.85,7127506.00,149607.00
10-Nov-25,Monday,November,2025,Q4,EQ,1477.90,1501.00,1475.50,1478.00,1490.10,1489.30,1492.69,1551.00,1114.85,7068438.00,154602.00
07-Nov-25,Friday,November,2025,Q4,EQ,1494.60,1498.40,1475.90,1496.10,1480.00,1478.00,1486.71,1551.00,1114.85,7821765.00,139608.00
06-Nov-25,Thursday,November,2025,Q4,EQ,1484.00,1501.60,1476.20,1473.10,1494.80,1496.10,1494.08,1551.00,1114.85,16772678.00,269902.00
04-Nov-25,Tuesday,November,2025,Q4,EQ,1483.90,1492.80,1470.10,1484.70,1471.10,1473.10,1480.96,1551.00,1114.85,10007806.00,218103.00
03-Nov-25,Monday,November,2025,Q4,EQ,1486.00,1495.00,1479.30,1486.40,1487.30,1484.70,1488.29,1551.00,1114.85,8452085.00,245664.00
31-Oct-25,Friday,October,2025,Q4,EQ,1490.40,1497.50,1482.30,1488.50,1487.00,1486.40,1487.80,1551.00,1114.85,8758053.00,206898.00
30-Oct-25,Thursday,October,2025,Q4,EQ,1500.00,1503.10,1484.00,1504.20,1489.50,1488.50,1492.27,1551.00,1114.85,9318663.00,276397.00
29-Oct-25,Wednesday,October,2025,Q4,EQ,1490.00,1508.30,1488.10,1486.90,1504.00,1504.20,1502.67,1551.00,1114.85,11884745.00,219504.00
28-Oct-25,Tuesday,October,2025,Q4,EQ,1484.10,1492.00,1477.60,1484.10,1489.70,1486.90,1484.96,1551.00,1114.85,17631577.00,314894.00
27-Oct-25,Monday,October,2025,Q4,EQ,1463.00,1485.00,1458.00,1451.60,1483.20,1484.10,1480.24,1551.00,1114.85,14113867.00,274839.00
24-Oct-25,Friday,October,2025,Q4,EQ,1450.00,1459.80,1441.00,1448.40,1451.10,1451.60,1450.25,2752.00,1114.85,9700837.00,221258.00
23-Oct-25,Thursday,October,2025,Q4,EQ,1475.00,1482.90,1444.60,1465.20,1448.00,1448.40,1464.71,2752.00,1114.85,18707090.00,376220.00
21-Oct-25,Tuesday,October,2025,Q4,EQ,1468.00,1474.00,1460.00,1466.80,1461.00,1465.20,1467.87,2752.00,1114.85,2066169.00,86819.00
20-Oct-25,Monday,October,2025,Q4,EQ,1440.00,1473.80,1433.30,1416.80,1467.90,1466.80,1461.76,2752.00,1114.85,24721978.00,512798.00
17-Oct-25,Friday,October,2025,Q4,EQ,1401.00,1423.30,1399.10,1398.30,1419.10,1416.80,1413.78,2760.15,1114.85,19335561.00,350761.00
16-Oct-25,Thursday,October,2025,Q4,EQ,1375.10,1400.50,1375.00,1374.30,1398.50,1398.30,1387.20,2760.15,1114.85,12315932.00,287913.00
15-Oct-25,Wednesday,October,2025,Q4,EQ,1383.00,1384.00,1372.70,1375.90,1374.70,1374.30,1377.15,2760.15,1114.85,10882743.00,239811.00
14-Oct-25,Tuesday,October,2025,Q4,EQ,1380.00,1388.00,1370.10,1375.00,1374.90,1375.90,1377.47,2760.15,1114.85,9768174.00,164937.00
13-Oct-25,Monday,October,2025,Q4,EQ,1376.90,1377.70,1367.80,1381.70,1376.00,1375.00,1372.70,2760.15,1114.85,7600682.00,175585.00
10-Oct-25,Friday,October,2025,Q4,EQ,1377.80,1388.00,1375.10,1377.80,1380.90,1381.70,1383.21,2802.00,1114.85,6373084.00,193985.00
09-Oct-25,Thursday,October,2025,Q4,EQ,1374.00,1380.00,1369.10,1367.40,1376.50,1377.80,1376.25,2802.00,1114.85,8826633.00,217890.00
08-Oct-25,Wednesday,October,2025,Q4,EQ,1384.80,1389.00,1364.50,1384.80,1367.30,1367.40,1371.62,2802.00,1114.85,8525081.00,214245.00
