Date ,Day,Month,Year,Quarter,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
14-Nov-25,Friday,November,2025,Q4,EQ,380.00,395.00,379.60,383.10,394.00,393.10,390.07,617.30,297.00,7601634.00,2965163529.10,71747.00
13-Nov-25,Thursday,November,2025,Q4,EQ,397.00,397.90,382.20,395.75,382.70,383.10,386.97,617.30,297.00,6102890.00,2361657890.35,100757.00
12-Nov-25,Wednesday,November,2025,Q4,EQ,395.75,398.00,390.80,394.25,396.05,395.75,395.32,617.30,297.00,3236998.00,1279645933.35,47250.00
11-Nov-25,Tuesday,November,2025,Q4,EQ,387.90,396.10,377.00,386.95,394.10,394.25,387.78,617.30,297.00,10574487.00,4100617135.20,112737.00
10-Nov-25,Monday,November,2025,Q4,EQ,404.00,411.40,380.00,401.40,389.00,386.95,390.99,617.30,297.00,11133596.00,4353117885.20,100111.00
07-Nov-25,Friday,November,2025,Q4,EQ,399.95,408.80,395.65,403.95,402.00,401.40,401.47,617.30,297.00,5018639.00,2014843471.30,56413.00
06-Nov-25,Thursday,November,2025,Q4,EQ,412.65,413.00,402.60,413.35,405.75,403.95,407.46,617.30,297.00,5526680.00,2251898597.05,62483.00
04-Nov-25,Tuesday,November,2025,Q4,EQ,405.00,415.45,402.30,402.45,412.50,413.35,411.36,617.30,297.00,9477215.00,3898582631.70,93891.00
03-Nov-25,Monday,November,2025,Q4,EQ,409.80,409.80,401.40,409.95,401.70,402.45,404.95,617.30,297.00,4897191.00,1983124697.10,62958.00
31-Oct-25,Friday,October,2025,Q4,EQ,430.00,434.00,407.10,417.95,409.65,409.95,418.17,617.30,297.00,19552018.00,8176070948.45,179625.00
30-Oct-25,Thursday,October,2025,Q4,EQ,419.95,422.50,413.50,418.95,418.00,417.95,416.84,617.30,297.00,4122844.00,1718550389.95,46387.00
29-Oct-25,Wednesday,October,2025,Q4,EQ,423.25,426.60,417.65,422.10,420.50,418.95,421.19,617.30,297.00,3267281.00,1376150918.60,51890.00
28-Oct-25,Tuesday,October,2025,Q4,EQ,427.70,429.00,419.15,425.65,423.50,422.10,423.55,617.30,297.00,4360893.00,1847048079.25,61568.00
27-Oct-25,Monday,October,2025,Q4,EQ,425.95,427.35,420.30,424.90,425.70,425.65,424.01,617.30,297.00,3890805.00,1649724936.60,44838.00
24-Oct-25,Friday,October,2025,Q4,EQ,426.00,430.20,423.00,424.30,425.00,424.90,426.62,617.30,297.00,4343894.00,1853209602.30,39657.00
23-Oct-25,Thursday,October,2025,Q4,EQ,432.10,433.05,423.00,432.10,423.50,424.30,426.85,617.30,297.00,7858545.00,3354405939.80,57574.00
21-Oct-25,Tuesday,October,2025,Q4,EQ,427.00,433.90,424.00,421.90,433.25,432.10,431.21,617.30,297.00,2266400.00,977302907.45,26321.00
