Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
14-Nov-25,Friday,November,Q4,2025,EQ,3090,3113.1,3077.3,3105.7,3112,3106,3095.35,4494.9,2866.6,2210794,105008
13-Nov-25,Thursday,November,Q4,2025,EQ,3131.8,3131.9,3102,3131.8,3104.8,3105.7,3113.07,4494.9,2866.6,1740435,120845
12-Nov-25,Wednesday,November,Q4,2025,EQ,3060,3136.4,3057.1,3047,3125.1,3131.8,3114.78,4494.9,2866.6,4460315,175446
11-Nov-25,Tuesday,November,Q4,2025,EQ,3045,3055.7,3018,3025.2,3049,3047,3037.03,4494.9,2866.6,2806868,112361
10-Nov-25,Monday,November,Q4,2025,EQ,2993,3047.9,2992,2991.8,3025,3025.2,3022.51,4494.9,2866.6,1556656,78119
07-Nov-25,Friday,November,Q4,2025,EQ,3001,3004,2960.5,3010.9,2993.5,2991.8,2979.65,4494.9,2866.6,1830520,106949
06-Nov-25,Thursday,November,Q4,2025,EQ,2990.1,3024,2990,2990.2,3010,3010.9,3010.5,4494.9,2866.6,2542721,200775
04-Nov-25,Tuesday,November,Q4,2025,EQ,3019.6,3029.3,2976,3016.8,2987.7,2990.2,2992.11,4494.9,2866.6,2670720,168525
03-Nov-25,Monday,November,Q4,2025,EQ,3046.9,3058,3010,3058,3019.5,3016.8,3024.83,4494.9,2866.6,2194877,101452
31-Oct-25,Friday,October,Q4,2025,EQ,3035,3067.4,3025.1,3035.3,3060,3058,3055.61,4494.9,2866.6,1868085,81376
30-Oct-25,Thursday,October,Q4,2025,EQ,3049.1,3063.8,3032.8,3057.6,3035.5,3035.3,3039.99,4494.9,2866.6,2241536,115244
29-Oct-25,Wednesday,October,Q4,2025,EQ,3057.9,3076,3046.1,3057.9,3060,3057.6,3061.14,4494.9,2866.6,2895420,116138
28-Oct-25,Tuesday,October,Q4,2025,EQ,3076,3090.2,3040.2,3084.9,3059.8,3057.9,3059.27,4494.9,2866.6,3470737,140326
27-Oct-25,Monday,October,Q4,2025,EQ,3066.5,3094.2,3060.2,3063.2,3083,3084.9,3083.94,4494.9,2866.6,1946312,85517
24-Oct-25,Friday,October,Q4,2025,EQ,3080,3090,3058.3,3073.2,3060.6,3063.2,3073.62,4494.9,2866.6,2684318,187127
23-Oct-25,Thursday,October,Q4,2025,EQ,3055,3098,3036.1,3006.7,3070,3073.2,3075.63,4494.9,2866.6,5564758,290229
21-Oct-25,Tuesday,October,Q4,2025,EQ,3031.1,3031.8,2996,3015.2,3000,3006.7,3013.14,4494.9,2866.6,310644,29319
20-Oct-25,Monday,October,Q4,2025,EQ,2985.5,3023,2978.5,2962.2,3016.3,3015.2,3007.54,4494.9,2866.6,3133039,163532
17-Oct-25,Friday,October,Q4,2025,EQ,2970,2988.8,2955.4,2970.7,2963,2962.2,2967.59,4494.9,2866.6,4374683,165312
16-Oct-25,Thursday,October,Q4,2025,EQ,2969.9,2975,2943.1,2969.8,2971.8,2970.7,2961.98,4494.9,2866.6,3251495,197293
15-Oct-25,Wednesday,October,Q4,2025,EQ,2971,2979.7,2951,2960.3,2970,2969.8,2967.01,4494.9,2866.6,4282226,146773
14-Oct-25,Tuesday,October,Q4,2025,EQ,3021,3027.2,2955.5,3007.2,2960,2960.3,2976.34,4494.9,2866.6,3611416,183673
13-Oct-25,Monday,October,Q4,2025,EQ,3027,3035.5,2998.2,3028.3,3006,3007.2,3011.37,4494.9,2866.6,2866865,169572
10-Oct-25,Friday,October,Q4,2025,EQ,3050,3070,3006.9,3061.7,3028,3028.3,3032.16,4494.9,2866.6,8817365,244153
09-Oct-25,Thursday,October,Q4,2025,EQ,3034,3066,3020,3027.2,3060.2,3061.7,3046.36,4494.9,2866.6,3211304,133703
08-Oct-25,Wednesday,October,Q4,2025,EQ,2975,3043,2968,2973.7,3031.5,3027.2,3024.78,4494.9,2866.6,4121889,154336
07-Oct-25,Tuesday,October,Q4,2025,EQ,2995,3004.5,2955.5,2988.4,2975,2973.7,2971.7,4494.9,2866.6,3062943,141987
06-Oct-25,Monday,October,Q4,2025,EQ,2902,2993.6,2895.6,2901.9,2988,2988.4,2959.88,4494.9,2866.6,2112774,100920
03-Oct-25,Friday,October,Q4,2025,EQ,2924,2924,2891.1,2914.2,2903,2901.9,2902.27,4494.9,2866.6,2899519,156466
01-Oct-25,Wednesday,October,Q4,2025,EQ,2891,2924.8,2866.6,2888.4,2915.1,2914.2,2897.26,4494.9,2866.6,1952902,124217
30-Sep-25,Tuesday,September,Q3,2025,EQ,2911,2915.3,2885.1,2896.1,2891,2888.4,2895.89,4494.9,2885.1,2253458,201510
29-Sep-25,Monday,September,Q3,2025,EQ,2916,2929.3,2894,2899.1,2904.3,2896.1,2904.37,4494.9,2891.3,3110035,179197
26-Sep-25,Friday,September,Q3,2025,EQ,2941,2954.8,2891.3,2957.4,2905.4,2899.1,2915.19,4494.9,2891.3,3934636,390339
25-Sep-25,Thursday,September,Q3,2025,EQ,3022,3029.6,2951,3035.4,2958,2957.4,2977.56,4494.9,2951,4974361,418858
24-Sep-25,Wednesday,September,Q3,2025,EQ,3050,3057,3033,3062.4,3036.8,3035.4,3044.04,4494.9,2991.6,1625714,101133
23-Sep-25,Tuesday,September,Q3,2025,EQ,3070,3080.7,3052,3073.8,3065,3062.4,3063.85,4494.9,2991.6,3177741,141198
22-Sep-25,Monday,September,Q3,2025,EQ,3095,3106.9,3065,3169.2,3075.5,3073.8,3082.86,4494.9,2991.6,3634901,321272
19-Sep-25,Friday,September,Q3,2025,EQ,3170,3180.5,3144,3176.7,3171,3169.2,3163.36,4546.05,2991.6,4901694,109280
18-Sep-25,Thursday,September,Q3,2025,EQ,3185,3203,3161.4,3172.8,3177,3176.7,3179,4546.05,2991.6,2633138,147801
17-Sep-25,Wednesday,September,Q3,2025,EQ,3152,3182.4,3142.4,3145.7,3175,3172.8,3170.19,4546.05,2991.6,2418271,100973
16-Sep-25,Tuesday,September,Q3,2025,EQ,3128,3150,3109.1,3111.9,3147.9,3145.7,3132.7,4546.05,2991.6,2573429,96675
15-Sep-25,Monday,September,Q3,2025,EQ,3134,3134,3096,3133.4,3112.5,3111.9,3108.2,4546.05,2991.6,1732539,145801
12-Sep-25,Friday,September,Q3,2025,EQ,3144,3148.7,3121,3124.2,3133,3133.4,3134.12,4549.35,2991.6,1447167,103589
11-Sep-25,Thursday,September,Q3,2025,EQ,3139,3139,3110.1,3110,3125.2,3124.2,3121.51,4549.35,2991.6,2263446,126730
10-Sep-25,Wednesday,September,Q3,2025,EQ,3056.4,3122.7,3053.4,3049.4,3110,3110,3104.63,4549.35,2991.6,2079428,127545
