Date ,Day,Month,Year,Quarter,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
14-Nov-25,Friday,November,2025,Q4,EQ,3336.00,3359.90,3324.00,3335.50,3347.00,3348.70,3343.94,3865.00,1863.00,344744.00,22995.00
13-Nov-25,Thursday,November,2025,Q4,EQ,3361.70,3405.00,3323.00,3357.10,3327.90,3335.50,3370.77,3865.00,1863.00,583528.00,38638.00
12-Nov-25,Wednesday,November,2025,Q4,EQ,3341.00,3387.00,3340.00,3318.60,3357.90,3357.10,3363.44,3865.00,1863.00,687241.00,41359.00
11-Nov-25,Tuesday,November,2025,Q4,EQ,3322.00,3335.00,3285.00,3315.10,3315.00,3318.60,3310.72,3865.00,1863.00,481411.00,32037.00
10-Nov-25,Monday,November,2025,Q4,EQ,3295.00,3360.00,3292.60,3276.20,3311.00,3315.10,3326.60,3865.00,1863.00,794600.00,56051.00
07-Nov-25,Friday,November,2025,Q4,EQ,3350.00,3362.60,3261.90,3369.00,3273.00,3276.20,3309.02,3865.00,1863.00,993437.00,64223.00
06-Nov-25,Thursday,November,2025,Q4,EQ,3375.00,3412.80,3336.60,3369.60,3365.00,3369.00,3378.69,3865.00,1863.00,715761.00,51857.00
04-Nov-25,Tuesday,November,2025,Q4,EQ,3421.00,3428.90,3363.10,3430.00,3370.00,3369.60,3392.47,3865.00,1863.00,569192.00,44453.00
03-Nov-25,Monday,November,2025,Q4,EQ,3423.00,3475.10,3412.30,3427.40,3422.00,3430.00,3442.72,3865.00,1863.00,531894.00,40191.00
31-Oct-25,Friday,October,2025,Q4,EQ,3440.00,3470.00,3418.20,3432.20,3423.00,3427.40,3442.38,3865.00,1863.00,589179.00,37558.00
30-Oct-25,Thursday,October,2025,Q4,EQ,3474.00,3515.00,3426.00,3477.60,3439.90,3432.20,3462.60,3865.00,1863.00,733700.00,42154.00
29-Oct-25,Wednesday,October,2025,Q4,EQ,3489.90,3495.90,3441.10,3486.40,3475.00,3477.60,3470.33,3865.00,1863.00,771254.00,44200.00
28-Oct-25,Tuesday,October,2025,Q4,EQ,3589.80,3590.00,3480.00,3585.50,3488.70,3486.40,3515.52,3865.00,1863.00,1236650.00,82042.00
27-Oct-25,Monday,October,2025,Q4,EQ,3550.00,3643.00,3537.00,3529.50,3581.00,3585.50,3600.46,3865.00,1863.00,2405079.00,121255.00
24-Oct-25,Friday,October,2025,Q4,EQ,3569.00,3610.00,3510.10,3567.50,3520.60,3529.50,3562.34,3865.00,1863.00,937528.00,52135.00
23-Oct-25,Thursday,October,2025,Q4,EQ,3545.00,3623.00,3522.00,3514.30,3570.00,3567.50,3585.31,3865.00,1863.00,1952927.00,105792.00
21-Oct-25,Tuesday,October,2025,Q4,EQ,3516.00,3531.00,3505.00,3506.60,3514.00,3514.30,3517.80,3865.00,1863.00,219764.00,14904.00
20-Oct-25,Monday,October,2025,Q4,EQ,3575.00,3583.40,3490.00,3535.30,3503.40,3506.60,3528.69,3865.00,1863.00,998508.00,56704.00
17-Oct-25,Friday,October,2025,Q4,EQ,3650.00,3718.80,3520.10,3627.40,3530.50,3535.30,3600.31,3865.00,1863.00,5353015.00,272255.00
16-Oct-25,Thursday,October,2025,Q4,EQ,3587.00,3639.00,3526.00,3518.40,3630.00,3627.40,3589.14,3865.00,1863.00,2971557.00,130857.00
15-Oct-25,Wednesday,October,2025,Q4,EQ,3510.00,3609.00,3455.50,3484.50,3536.40,3518.40,3541.12,3865.00,1863.00,3222210.00,162624.00
14-Oct-25,Tuesday,October,2025,Q4,EQ,3475.60,3572.80,3470.00,3404.60,3490.10,3484.50,3518.77,3865.00,1863.00,2488309.00,128407.00
13-Oct-25,Monday,October,2025,Q4,EQ,3339.90,3426.30,3335.10,3333.40,3423.90,3404.60,3388.25,3865.00,1863.00,1884188.00,99681.00
10-Oct-25,Friday,October,2025,Q4,EQ,3350.00,3386.40,3318.00,3344.70,3328.00,3333.40,3342.89,3865.00,1863.00,645784.00,42457.00
09-Oct-25,Thursday,October,2025,Q4,EQ,3328.00,3356.40,3270.00,3323.40,3338.50,3344.70,3314.09,3865.00,1863.00,861391.00,60356.00
08-Oct-25,Wednesday,October,2025,Q4,EQ,3400.00,3400.00,3313.00,3402.80,3321.00,3323.40,3336.87,3865.00,1863.00,795141.00,58704.00
07-Oct-25,Tuesday,October,2025,Q4,EQ,3441.50,3451.50,3370.00,3441.50,3389.00,3402.80,3421.25,3865.00,1863.00,563252.00,37096.00
06-Oct-25,Monday,October,2025,Q4,EQ,3440.00,3464.00,3402.00,3438.90,3421.00,3441.50,3435.99,3865.00,1863.00,652906.00,35935.00
03-Oct-25,Friday,October,2025,Q4,EQ,3364.00,3469.00,3359.00,3332.00,3434.00,3438.90,3438.18,3865.00,1863.00,1685307.00,93857.00
01-Oct-25,Wednesday,October,2025,Q4,EQ,3344.00,3360.00,3298.00,3328.40,3322.00,3332.00,3330.98,3865.00,1863.00,1166380.00,63270.00
30-Sep-25,Tuesday,September,2025,Q3,EQ,3259.00,3348.00,3195.00,3280.80,3333.00,3328.40,3268.81,3865.00,1863.00,1674938.00,99502.00
29-Sep-25,Monday,September,2025,Q3,EQ,3225.00,3303.00,3142.70,3207.60,3248.00,3280.80,3228.09,3865.00,1863.00,2635871.00,152121.00
26-Sep-25,Friday,September,2025,Q3,EQ,3375.00,3385.00,3182.00,3445.10,3199.90,3207.60,3248.06,3865.00,1863.00,3603777.00,202673.00
25-Sep-25,Thursday,September,2025,Q3,EQ,3506.00,3509.60,3436.10,3489.90,3447.00,3445.10,3470.06,3865.00,1863.00,938724.00,52046.00
24-Sep-25,Wednesday,September,2025,Q3,EQ,3440.60,3579.00,3440.00,3435.10,3503.00,3489.90,3519.72,3865.00,1863.00,3044929.00,149497.00
23-Sep-25,Tuesday,September,2025,Q3,EQ,3464.00,3520.00,3420.00,3454.40,3436.00,3435.10,3464.14,3865.00,1863.00,1068121.00,58917.00
22-Sep-25,Monday,September,2025,Q3,EQ,3400.40,3508.00,3400.40,3526.30,3451.00,3454.40,3463.86,3865.00,1863.00,1344861.00,72218.00
19-Sep-25,Friday,September,2025,Q3,EQ,3510.00,3544.90,3470.20,3500.40,3542.00,3526.30,3510.10,3865.00,1863.00,1839809.00,86953.00
18-Sep-25,Thursday,September,2025,Q3,EQ,3614.00,3645.00,3490.00,3603.90,3500.00,3500.40,3547.90,3865.00,1863.00,2111552.00,108010.00
17-Sep-25,Wednesday,September,2025,Q3,EQ,3585.00,3618.90,3565.00,3579.00,3614.00,3603.90,3595.44,3865.00,1863.00,1297506.00,70240.00
16-Sep-25,Tuesday,September,2025,Q3,EQ,3601.00,3625.00,3535.00,3581.10,3569.90,3579.00,3581.56,3865.00,1863.00,2102638.00,107306.00
15-Sep-25,Monday,September,2025,Q3,EQ,3640.00,3728.00,3555.50,3634.20,3588.00,3581.10,3646.82,3865.00,1863.00,3501031.00,170756.00
12-Sep-25,Friday,September,2025,Q3,EQ,3765.90,3865.00,3612.80,3739.80,3635.00,3634.20,3730.42,3865.00,1863.00,6599893.00,314778.00
11-Sep-25,Thursday,September,2025,Q3,EQ,3470.00,3777.00,3439.00,3477.80,3752.00,3739.80,3653.37,3777.00,1863.00,12920562.00,581469.00
10-Sep-25,Wednesday,September,2025,Q3,EQ,3270.00,3503.50,3267.40,3259.10,3464.20,3477.80,3419.75,3743.00,1863.00,5691315.00,243563.00
09-Sep-25,Tuesday,September,2025,Q3,EQ,3189.90,3265.00,3151.20,3177.50,3259.10,3259.10,3235.77,3743.00,1863.00,1432163.00,79836.00
08-Sep-25,Monday,September,2025,Q3,EQ,3228.00,3248.00,3171.00,3219.50,3176.00,3177.50,3201.82,3743.00,1863.00,589478.00,35875.00
05-Sep-25,Friday,September,2025,Q3,EQ,3205.00,3239.00,3178.00,3201.10,3219.90,3219.50,3212.17,3743.00,1863.00,665686.00,41901.00
04-Sep-25,Thursday,September,2025,Q3,EQ,3254.00,3265.00,3186.10,3224.00,3205.30,3201.10,3221.54,3743.00,1863.00,1066022.00,58512.00
03-Sep-25,Wednesday,September,2025,Q3,EQ,3234.00,3248.40,3175.00,3199.10,3226.10,3224.00,3213.62,3743.00,1863.00,1397892.00,75730.00
02-Sep-25,Tuesday,September,2025,Q3,EQ,3228.00,3269.40,3162.00,3200.50,3197.00,3199.10,3211.31,3743.00,1863.00,2848237.00,155980.00
01-Sep-25,Monday,September,2025,Q3,EQ,3447.90,3447.90,3190.00,3402.00,3199.00,3200.50,3282.10,3743.00,1863.00,3250018.00,168780.00
29-Aug-25,Friday,August,2025,Q3,EQ,3415.40,3496.80,3352.00,3417.30,3392.00,3402.00,3428.18,3743.00,1863.00,4507176.00,276969.00
28-Aug-25,Thursday,August,2025,Q3,EQ,3298.00,3447.70,3275.00,3265.30,3393.80,3417.30,3373.55,3743.00,1863.00,7117799.00,424778.00
26-Aug-25,Tuesday,August,2025,Q3,EQ,3149.00,3329.80,3115.00,3151.10,3321.10,3265.30,3247.68,3743.00,1863.00,14456797.00,247587.00
25-Aug-25,Monday,August,2025,Q3,EQ,3190.00,3194.60,3083.00,3188.60,3151.00,3151.10,3129.71,3743.00,1863.00,2019481.00,93249.00
22-Aug-25,Friday,August,2025,Q3,EQ,3223.40,3237.40,3171.00,3223.40,3175.00,3188.60,3202.73,3743.00,1863.00,1615030.00,77849.00
21-Aug-25,Thursday,August,2025,Q3,EQ,3165.00,3299.00,3137.30,3151.50,3225.00,3223.40,3242.55,3743.00,1863.00,3938312.00,167871.00
20-Aug-25,Wednesday,August,2025,Q3,EQ,3044.90,3168.00,3025.10,3037.50,3142.00,3151.50,3106.91,3743.00,1863.00,1965520.00,90449.00
19-Aug-25,Tuesday,August,2025,Q3,EQ,3000.00,3085.00,3000.00,2984.90,3036.60,3037.50,3057.03,3743.00,1863.00,2222232.00,94737.00
18-Aug-25,Monday,August,2025,Q3,EQ,2949.00,2995.50,2936.00,2882.80,2982.50,2984.90,2974.94,3743.00,1863.00,1305932.00,60097.00
14-Aug-25,Thursday,August,2025,Q3,EQ,2940.00,2964.00,2830.50,2941.90,2882.00,2882.80,2903.77,3743.00,1863.00,2869701.00,158447.00
13-Aug-25,Wednesday,August,2025,Q3,EQ,3055.00,3065.60,2922.00,3084.80,2928.00,2941.90,2971.28,3743.00,1863.00,3334479.00,160240.00
12-Aug-25,Tuesday,August,2025,Q3,EQ,3117.70,3190.90,3075.00,3112.10,3093.00,3084.80,3142.12,3743.00,1863.00,1435395.00,73402.00
11-Aug-25,Monday,August,2025,Q3,EQ,3078.00,3126.00,3055.00,3061.00,3112.00,3112.10,3104.08,3743.00,1863.00,1111429.00,48748.00
08-Aug-25,Friday,August,2025,Q3,EQ,3180.00,3190.00,3052.10,3162.90,3069.90,3061.00,3105.57,3743.00,1863.00,1810562.00,83777.00
